Food Category,Food name,Source,Vendor,Ingredients,Average quantity per serving,,,,,,,,,,,,,,Average quantity per 100g,,,,,,,,,,,,
,,,,,Serving Size (g),Energy (Kj),Energy (cal),Protein (g),Fat g (Total),Saturated Fat (g),Carbohydrate (g),Sugars (g),Dietary Fibre (g),Sodium (mg),Calcium (mg),GI,GIL,GL,Energy (Kj),Energy (cal),Protein (g),Fat g (Total),Saturated Fat (g),Carbohydrate (g),Sugars (g),Dietary Fibre (g),Sodium (mg),Calcium (mg),GI,GIL,GL
,Greek Salad,Nutritional Information from the manufacturer,Raw,"tomato, spanish onion, cucumber. Olives, fetta and lemon and oregano vinaigrette",,270.2,,4.78,4.5,2.73,3.34,2.92,,239.4,,,,,180.13,,3.19,3.00,1.82,2.23,1.95,,159.60,,,,
,Caeser Salad,Nutritional Information from the manufacturer,Raw,"lettuce, rindless bacon, baguette, parmesan cheese, eggs, caesar dressing",,16982.4,,258.41,251.44,66.36,171.3,45.89,,9903.57,,,,,540.84,,8.23,8.01,2.11,5.46,1.46,,315.40,,,,
,"Potato, Snow Peas, and Water Cress Salad - Café Menu",Nutritional Information from the manufacturer,Raw,"potato, snow pea, watercress, mustard seeded, vinegar, olive oil",,1153.03,,3.39,22.11,3.52,14.95,1.6,,12.12,,,,,574.22,,1.69,11.01,1.75,7.45,0.80,,6.04,,,,
,Chickpea and Carrot Salad,Nutritional Information from the manufacturer,Raw,"chick pea, carrots, ground ginger, coriander, cumin, coriander leaf, orange juice, olive oil, large oranges, cardamon pods, cinnamon quill",,1382.71,,5.72,26.16,4.92,17.59,9.58,,446.92,,,,,456.34,,1.89,8.63,1.62,5.81,3.16,,147.50,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sushi,Smoked salmon roll,Foodworks 2009,,"Rice, canola oil, white vinegar, salt, sugar, seaweed, avocado, vegetable (28%), pickles (salt, vinegar, sugar, vegetables), trehalose",125,738,177,5.9,2,1,33.4,2.8,,313,,48,low,16,590,141,4.7,1.6,0.8,26.7,2.4,,250,,48,low,13
,Chicken roll,Foodworks 2009,,"rice, canola oil, white vinegar, salt, sugar, seaweed, chicken (34%), vegetable, soy sauce [allergens: soybeans, wheat], trehalose",125,733,175,8.9,3.1,0.8,29,3.8,,458,,48,low,14,626,150,7.1,2.5,0.6,23.2,3,,366,,48,low,11
,California roll,Foodworks 2009,,"rice, canola oil, white vinegar, salt, seaweed, vegetables, crab stick (10%), (pollack, water, wheat starch, crab extract, crab flavour, food colouring (annato cochineal), egg white), avacado, caviar, trehalose",125,750,179,4.3,1.8,0.8,36,4.1,,325,,48,low,17,600,144,3.4,1.4,0.6,28.2,3.3,,260,,48,low,14
,Vegetarian roll,Foodworks 2009,,"Rice, canola oil, white vinegar, salt, sugar, seaweed, avocado, vegetable (28%), pickles (salt, vinegar, sugar, vegetables), trehalose",125,591,141,3.3,3,0.6,24.1,4.4,,289,,48,low,12,473,113,2.6,2.4,0.5,19.3,3.5,,215,,48,low,9
,Tuna roll,Foodworks 2009,,"Rice, canola oil, white vinegar salt, seasweed, tuna (28%), mayonnaise, (egg, sugar, vinegar, mustard, vegetable oil, milk solid's non fat), trehalose",125,800,191,7.1,1.4,0.4,36.8,8.1,,500,,48,low,18,640,153,5.7,1.1,0.3,29.4,4.8,,400,,48,low,14
,Prawn roll,Foodworks 2009,,"rice, canola oil, white vinegar, salt, sugar, seaweed, wheat flour, prawn (14%), mayonnaise (egg, sugar, vinegar, mustard, vegetable oil, milk solid's non fat), trehalose",125,958,229,4.5,6.1,1.1,37.8,2.4,,801,,48,low,18,765,183,3.6,4.9,0.9,30.2,1.9,,641,,48,low,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baked Goods,Banana bread,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","Banana pieces (26.47%), sugar, protein enriched flour, oil, egg pulp, soft flour, sour cream, banana slices (6.3%), banana pulp (3.67%), bi-carb soda, lemon, sorbastate, vanilla, cream tartare. Total banana 36.5%",157,2090,500,6.6,22.8,3.4,65.5,42,,21.8,,51,low,33,1331,318,4.2,14.5,2.1,41.7,26.8,,13.9,,51,low,21
,Apple walnut bread,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","Self raising flour, caster sugar, fresh banana, diced apples [apple, antioxidant (ascorbic acid), firming agent (calcium chloride)], eggs, canola oil, sour cream pasteurised cream, culture], walnuts, cinnamon, baking soda, salt.",100,1190,285,4.9,10.5,1.7,41.1,20.6,,403,,47,low,19,1190,285,4.9,10.5,1.7,41.1,20.6,,403,,47,low,19
,Muffin rasp and white,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","Muffin mix 40% (wheat flour, sugar, vegetable (antioxidant 306), milk solids, egg powder, raising agents (500, 541), dextrose, wheat starch, salt, emulsifiers (471, 481), thickener (412), flavours, colour (102). Water, oil, white chocolate bits 4%, frozen whole raspberry 6%",180,2800,670,6.4,39.5,5.2,71,30.1,,307,,52,low,37,1556,372,3.5,22,2.9,39.5,16.7,,170,,52,low,21
,Muffin choc chip,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","Muffin mix 40% (wheat flour, sugar, vegetable (antioxidant 306), milk solids, egg powder, chocolate chip 6%, raising agents (500, 541), dextrose, wheat starch, salt, emulsifiers (471, 481), thickener (412), flavours, colour (102), water, oil.",180,2739,655,5.9,37.5,10.3,72,38.1,,258,,52,low,37,1522,364,3.2,20.9,5.7,40,21.1,,143,,52,low,21
,Muffin apple cinnamon,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","Muffin mix 40% (wheat flour, sugar, vegetable (antioxidant 306), milk solids, egg powder, apple and cinnamon 85, raising agents (500, 541), dextrose, wheat starch, salt, emulsifiers (471, 481), thickener (412), flavours, colour (102), water, oil.",180,2739,655,5.9,37.5,10.3,72,38.1,,258,,52,low,33,1522,364,3.2,20.9,5.7,40,21.1,,143,,52,low,18
,Caramel slice,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","Base: soft flour, margarine (animal fat, vegetable oil, emulsifiers (435, 471), antioxidants (320(39.8mg/kg), 310 (11.9mg/kg), flavour). Caster sugar, coconut 18%, baking powder. Topping: oil, chocolate 21% (sugar, vegetable fat, cocoa, whey powder emulsifiers (492 soya lecithin), salt flavour) margarine, golden syrup (cane sugar syrup), condensed milk 4% (milk, sugar).",120,2453,587,5.2,39.2,11.8,53,44.7,,218.3,,46,low,24,2044,489,4.3,32.7,9.8,44.2,37.3,,181.9,,46,low,20
,Chocolate brownie slice,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","Base: soft flour, margarine (animal fat, vegetable oil, emulsifiers (435, 471), antioxidants (320(39.8mg/kg), 310 (11.9mg/kg), flavour). Caster sugar, coconut 18%, baking powder. Topping: oil, chocolate 21% (sugar, vegetable fat, cocoa, whey powder emulsifiers (492 soya lecithin), salt flavour) margarine, golden syrup (cane sugar syrup), condensed milk 4% (milk, sugar).",110,1935,463,4.9,25.6,18.3,52.4,44.1,,42.5,,42,low,22,1760,421,4.5,23.3,16.6,47.6,40.1,,38.6,,42,low,20
,Double chocolate muffin,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","Dark compund chocolate 20%, wheat flour, sugar, water, vegetable oil, emulsifiers (322, soy 471, 477), antioxidants (320), egg, milk solids, maize starch (1422), mineral salts (500, 541), salt, flavours, vege gum (415).",175,2910,696,8.5,37.5,14,80,56.8,,536,,46,low,22,1660,397,4.9,21.4,8,45.7,32.4,,306,,46,low,20
,Muffin blueberry,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","Muffin mix 40% (wheat flour, sugar, vegetable (antioxidant 306), milk solids, egg powder, blueberry 8%, raising agents (500,541), dextrose, wheat starch, salt, emulsifiers (471, 481), thickener (412), flavours, colour (102), water, oil.",180,2739,655,5.9,37.5,10.3,72,38.1,,258,,59,medium,42,1522,364,3.2,20.9,5.7,40,21.1,,143,,59,medium,24
,Banana muffin large,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","Banana 17%, wheat flour, sugar, water, vegetable oil, emulsifiers (322, soy, 471, 477) antioxidants (320), egg, milk solids, maize starch (1422), mineral salts (500, 541), salt, flavours. Veg gum (415)",175,2350,562,7.6,28.8,4.8,67.3,42.7,,546,,51,low,34,1340,321,4.3,16.5,2.8,38.4,24.4,,312,,51,low,20
,Orange poppy muffin,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","Orange juice 15%, wheat flour, sugar, water, vegetable oil, emulsifiers (322, soy, 471 477) antioxidants (320), egg, milk solids, maize starch (1422), mineral salts (500, 541), salt. Flavours. Veg gum (415)",175,2340,560,7.6,30,5,63.9,39.9,,553,,46,low,29,1340,321,4.4,17.2,2.9,36.5,22.8,,316,,46,low,17
,Cookies love bar - FN,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","Rolled oats, plain flour, brown sugar, butter (cream water), apricot jam, [sugar, fruit (50% fruit ans sugar) (apple, apricot) (pectin)], fine coconut [coconut (99.95%)], sodium metabisulfite (E223) (0.005%), condensed milk, golden syrup, pistacchio, pumpkin seeds, almonds, chocolate [sugar, vegetable oil (contains emulsifier (E492), cocoa solid 16% milk solid 6%, whey powder, emulsifier (soya lecithin (322), flavouring, salt vanilla] salt",95,1502,359,6.1,14.1,7.8,49.6,30.3,,748,,43,low,21,1581,378,6.5,14.8,8.3,52.2,31.8,,788,,43,low,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hot Pastries,light sausage roll,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","water, flour, sausage, mince, beef mince, vegetable oil, bread crumbs, onion, worcestershire sauce, rice, salt, (451), bakers yeast, rye meal, oat gluten, semolina, sugar, flour treating agents (920, 471 472E, 481), baking powder, whey powder, spices, soya bean, sesame seed, lecithin, pepper, garlic, preservatives (223, 331)",165,1400,335,14.2,9.4,5.4,45.4,0.4,,470,,59,medium,27,848,203,8.6,5.7,3.3,27.5,0.2,,285,,59,medium,16
,light sausage roll and sauce,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","Light sausage roll (170g), sauce tomato commercial (5.2ml)",175,1422,340,14.3,9.4,5.5,46.7,1.6,,521,,59,medium,28,835,200,8.4,5.5,3.2,27.4,0.9,,306,,59,medium,16
,lower fat steak pie,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","beef, flour, vegetable oil, water, starch (1422), seasonings (621, 627, 631), soy flour, Hvp, onion, salt, worcestershire sauce, emulsifiers (920, 471, 472e, 481), baking powder, whey (310, 320, 331)",175,1260,301,15.9,13.5,7.4,27.8,0.4,,523,,59,medium,16,721,172,9.1,7.7,4.2,15.9,0.2,,299,,59,medium,9
,lower fat steak pie and sauce,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","lower fat steak pie (175g), sauce tomato commercial (5.2ml)",180,1285,307,16,13.5,7.4,29.1,1.6,,574,,59,medium,17,712,170,8.9,7.5,4.1,16.2,0.9,,318,,59,medium,10
,moroccan spiced lamb filo,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","water, lamb (19%), filo pastry (17%) (wheatflour thiamine and folic acid), water, wheaten cornflour, salt, sunflower oil, preservative (potassium sorbate 202), onion, crushed tomato, stewed apple, canola oil, tomato paste, starch, pumpkin, potato, carrot, celery, broccoli, cauliflower, turmeric, beef enhancer, vegetable oil, cumin, garlic, salt, cardamon, paprika, cayenne pepper, pepper.",240,1960,469,21.3,22.1,3.5,44.3,6.2,,1000,,59,medium,26,818,196,8.9,9.2,1.4,18.5,2.6,,418,,59,medium,11
,chicken mushroom and thyme filo,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","chicken (24%), filo pastry (19%), (wheatflour thiamine and folic acid), water, wheaten corn flour, salt, sunflower oil, preservative (potassium sorbate 202), water, mushroom (12%), brown onion, milk, canola oil, arborio rice, starch, paprika, salt, garlic, thyme (1%), pepper.",240,2090,500,21.7,22.5,3.4,50.8,3.4,,880,,59,medium,30,871,208,9.1,9.4,1.4,21.1,1.4,,366,,59,medium,12
,"spinach, pumpkin and ricotta filo",Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","pumpkin (31%), filo pastry (21%), (wheatflour thiamine and folic acid), water, wheaten cornflour salt, sunflower oil, preservative (potassium sorbate 202), spinach (19%), ricotta (16%), canola oil, egg, feta, parmesan (pasteurised milk, salt, starter culture enzymes (contains egg protein)), garlic, salt, pepper.",225,1830,438,15.8,24.7,6.2,36.5,5,,912,,59,medium,22,815,195,7,11,2.8,16.2,2.2,,405,,59,medium,10
,ham and cheese croissant,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","cheese tasty (19.8g), ham non-canned (42g), croissant plain (1 medium (12-15cm long)",130,1537,368,19.2,22.5,14,47.7,3.3,1.9,813,,67,medium,32,1193,265,14.9,17.4,10.8,17.5,2.5,1.5,632,,67,medium,12
